modern_nam;LCD_name;ID;unci;N;E
Põllula;Pollula;LCD308;26;6575289;478608
Pälli;Hyraenkulae;LCD309;2;6568902;338126
Pällu;Laemestaekilae;LCD310;5;6569788;355495
Päri;Paiunalus;LCD311;20;6577914;450494
Pääsküla;Peskulae;LCD312;20;6581390;364950
Pühajõe;Pododt;LCD313;6;6586269;530662
Pühatu;Piatae;LCD314;4;6535714;357407
Püssi;Rodickae;LCD315;5;6582122;502531
Harju-Jaani;Saintakae;LCD316;43;6583329;397147
Rabivere;Kyuizael;LCD317;15;6553931;367710
Rae;Houonurmae;LCD318;5;6585018;379401
Rahkla;Rakela;LCD319;12;6579988;476576
Rahula 1;Rauwal;LCD320;4;6550961;348223
Rahula 2;Rauwalae;LCD321;11;6575583;361323
Raikküla;Raiklaep;LCD322;5;6535185;370940
Raka;Rakal;LCD323;8;6549049;367486
Rakvere;Raekaevaer;LCD324;6;6533143;366762
Rannuküla;Randu;LCD325;12;6589081;491895
Rapla;Rapal;LCD326;8;6543194;373411
Rasivere;Rasiuerae;LCD327;10;6565023;405160
Rasivere;Kassiuerae;LCD328;7;6592297;451841
Ratva;Ragwas;LCD329;6;6569151;513826
Raudlepa;Rauculeppi;LCD330;10;6578704;470640
Raudna;Raudanal;LCD331;20;6589786;486218
Raudvere;Raulaeuaerae;LCD332;18;6581005;471122
Rausvere;Rausauerae;LCD333;6;6573758;528231
Ravila;Maechius;LCD334;8;6562144;398442
Ravila;Rauelik;LCD335;18;6561438;399636
Rebala;Reppel;LCD336;8;6593047;391675
Reomäe;Raesaemaekae;LCD337;2;6570617;357433
Reuanal;Reuanal;LCD338;5;6582662;521206
Roela;Roilae;LCD339;16;6559465;477251
Roela;Uettaerokae;LCD340;16;6558685;476758
Rooküla;Rocol;LCD341;6;6570758;403587
Rootsi-Kallavere (Lillevere);Lillaeuerae;LCD342;9;6596502;388471
Ruila;Rughael;LCD343;15;6564368;353868
Rummu;Rung;LCD344;5;6591306;404034
Ruu;Rutae;LCD345;8;6592256;398758
Rägavere;Rackeuerae;LCD346;6;6576554;471003
Saarmuse;Sarmus;LCD347;5;6555638;377864
Saarne;Sarnae;LCD348;6;6589251;388869
Sadala;Sataial;LCD349;5;6555043;379716
Saha;Saga;LCD350;12;6589467;385970
Saka;Satzae;LCD351;20;6588007;513078
Salatse;Salunal;LCD352;14;6594140;452426
Kaegynurmi;Kaegynurmi;LCD353;12;6537074;463530
Salla;Salda;LCD354;15;6534683;464524
Salla;Salda;LCD355;8;6572415;447159
Salutaguse;Salandaus;LCD356;8;6542114;387079
Samma;Samma;LCD357;6;6585779;482517
Sammu;Sambas;LCD358;10;6584948;398511
Saula;Saul;LCD359;5;6564523;387598
Saunja;Saunoy;LCD360;25;6588366;403670
Sausti;Sauthael;LCD361;5;6576624;373694
Savala;Saula;LCD362;13;6575766;500589
Seli;Selkius;LCD363;3;6553703;375458
Selja;Sellaegael;LCD364;45;6595411;466499
Selli;Silgele;LCD365;5;6528363;459546
Sigula;Sicutol;LCD366;22;6590685;419173
Sikeldi;Sicaleth;LCD367;9;6545413;370408
Kiarkiuer;Kiarkiuer;LCD368;2;6545994;370281
Silmsi;Silmel;LCD369;5;6574888;394119
Silmsi;Silmus;LCD370;5;6554346;403405
Sirgala;Cirpae;LCD371;1;6576751;544202
Siuge;Surti;LCD372;3;6551328;393332
Sompa;Oia;LCD373;15;6580566;518266
Sooaluse;Sonaldae;LCD374;15;6586062;470373
Sooaluste;Sonalae;LCD375;7;6532293;373938
Soodla;Socal;LCD376;10;6585148;405574
Sookaera;Ratho;LCD377;6;6572605;374811
Soomukse;Somaecos;LCD378;8;6588932;442881
Soonurme;Sonorm;LCD379;1;6575368;497847
Sootaga;Svandaus;LCD380;10;6579176;447598
Suure-Tammiku;Tamicas;LCD381;21;6539087;461732
Sõandu;Sandae;LCD382;11;6551681;364352
Sõgula;Seculis;LCD383;7;6572631;379946
Sõmeru;Someres;LCD384;5;6569157;380524
Sõmeru;Someruerae;LCD385;10;6580515;468020
Sõmeru;Semaer;LCD386;6;6561128;401485
Sõrve;Serueuerae;LCD387;10;6590571;355303
Sämi;Semis;LCD388;28;6583001;477285
Tabara;Tapaiarhu;LCD389;2;6555304;341803
Tammiku;Damicas;LCD390;9;6577493;521684
Tammiku;Pamicus;LCD391;2;6560811;481080
Tamsi;Tamias;LCD392;6;6549782;390835
Tarvamägi;Tarvameki;LCD393;2;6578330;357354
Tatruse;Tatarais;LCD394;32;6590200;458934
Tohisoo;Tois;LCD395;16;6560043;372368
Tokolopi;Tokolep;LCD396;7;6575283;446043
Toomja;Tomias;LCD397;7;6544343;390139
Tudu;Tydy;LCD398;10;6560276;491723
Tuhala;Tohal;LCD399;5;6567014;384130
Tuula;Tulalae;LCD400;12;6573916;355149
Tõikvere;Taeukeuerae;LCD401;9;6589192;453965
Tõnuvere;Tonnaewaerae;LCD402;2;6567360;462131
Tõrma;Tormas;LCD403;70;6575220;461461
Tõrma;Terma;LCD404;4;6543072;367831
Tänasilma;Tennesilmae;LCD405;3;6579808;367206
Tüükri;Sacael;LCD406;5;6590504;486067
Ubasalu;Hopasal;LCD407;6;6550449;355719
Ubina;Vbbianes;LCD408;9;6572248;390323
Ubja;Vbias;LCD409;23;6586595;467899
Udriku;Vtric;LCD410;12;6573664;446493
Uhtna;Octinus;LCD411;12;6584285;475469
Undla;Undyl;LCD413;9;6579369;449296
Unukse;Vnox;LCD414;9;6593447;483886
Urvaste;Vrwas;LCD415;5;6571227;391519
Utria;Ydrigas;LCD416;3;6584336;552351
Uueküla;Vsikylae;LCD417;16;6588346;384257
Uuri;Ueri;LCD418;14;6595643;418588
Vaeküla;Wakalae;LCD419;22;6578213;472428
Vaela;Waiolae;LCD420;5;6578855;375986
Vahnamaa;Wahanina;LCD421;7;6553265;343706
Vaiatu;Waeghattae;LCD422;5;6582215;443257
Vaida;Wartae;LCD423;15;6573674;384841
Valaste;Uvalat;LCD424;2;6588935;520810
Valgma;Walghamus;LCD425;2;6573704;452892
Valingu;Vvalaelinkae;LCD426;7;6576666;356093
Valkla;Uvalkal;LCD427;46;6594935;405801
Valtu;Kotoaassen;LCD428;4;6539973;376349
Vanaküla;H?ckae;LCD429;28;6589756;455624
Vanamõisa;Katenshapae;LCD430;4;6590167;454573
Vanamõisa;Kircotaen;LCD431;12;6579666;360454
Vandjala;Uvanghaelae;LCD432;8;6590735;390752
Vandu;Uvannae;LCD433;12;6576311;454572
Vankumäe;Vldalep;LCD434;2;6572818;359350
Vaopere;Wahumperae;LCD435;4;6548876;394146
Varangu;Uvarangalae;LCD436;32;6593234;462304
Varbola;Uarpal;LCD437;10;6547048;355579
Vardi;Kiriuaer;LCD438;7;6547924;354011
Vardja;Uauae;LCD439;1;6561065;398082
Varese;Waret suto;LCD440;5;6550495;345861
Varja;Uvarelae;LCD441;24;6585186;505636
Varudi;Waradas;LCD442;45;6587266;479786
Vasalemma;Wosilki;LCD443;12;6569756;344344
Vasavere;Walsaraevaerae;LCD444;8;6573353;529652
Vaskjala;Vvaskael;LCD445;21;6582323;383388
