modern_nam;LCD_name;ID;unci;x;y;province;kylaegund;parocchia
Villakvere;Viliacaueri;LCD456;6;637028;6530261;Uironia;Lemmun;Katcaekylae
Vihula;Viola;LCD486;;621529;6602314;Uironia;Repel [Vir];Halelae
Viruküla;Viraekilae;LCD460;3;512299;6550323;;Uomentakae;Keykel
Virla;Wircol;LCD459;3;572690;6547209;Haeriae;;Kolkis
Vinni;Vitni;LCD458;24;635946;6574906;Uironia;Laemund;Vov
Vankumäe;Vldalep;LCD434;2;530303;6570217;;Uomentakae;Keykel
Unukse;Vnox;LCD414;9;653827;6596420;Uironia;Maum;Maum
Oblu;Wopal;LCD257;5;563100;6546374;Haeriae;;Juriz
Oore;Wori;LCD267;2;554012;6527130;Haeriae;;Haccriz
Vasalemma;Wosilki;LCD443;12;515449;6566484;;Uomentakae;Keykel
Võhu;Vov;LCD469;20;646937;6568329;Uironia;Laemund;Vov
Urvaste;Vrwas;LCD415;5;562518;6570073;;Repel;Jeeleth
Uueküla;Vsikylae;LCD417;16;554492;6586853;;Ocrielae;Waskael
Udriku;Vtric;LCD410;12;617343;6574974;Uironia;Repel [Vir];Toruestaeuaerae
Valingu;Vvalaelinkae;LCD426;7;526876;6573915;;Uomentakae;Keykel
Vaskjala;Vvaskael;LCD445;21;553894;6580795;;Ocrielae;Waskael
Iila;Ydiala;LCD63;25;650065;6597818;Uironia;Maum;Maum
Utria;Ydrigas;LCD416;3;722660;6590374;Uironia;Alentagh;
Ürjaste;Yrias;LCD481;6;518328;6552538;;Uomentakae;Keykel
